Rank	Trainer	Points
1	Salty	320
2	Planetar	306
3	ditto	193
4	MassiveMan	160
5	joah	151
6	NetEasy	145
7	IGuano	137
8	soysauce	92
9	RAPJM	85
10	Eon_II	69
11	fammy	60
12	Carbon Show	58
13	jozz	52
14	Mario Dude	51
15	colfon	50
16	razorforce21	50
17	Crunchy	43
18	Jim	40
19	HalfMario	40
20	Smoke	35
21	JA9K	35
22	SandSSF2	31
23	Scuttler	31
24	Staples	30
25	Gamer John	30
26	Cikada	25
27	MTJgator	22
28	Tau Heximus	20
29	Ikeba	20
30	Dabuffalo	20
31	JMoney	20
32	Amalgamate	18
33	Aphelion	16
34	Nightmare	16
35	penguhr	12
36	gold_dxj	12
37	Noobinator	10
38	Bubs	10
39	Cheese	10
40	Mikayla	10
41	RoyalDarknes	8
42	Nobody	8
43	Royaldarknes	6
44	Skyfletcher	6
45	Azend	6
46	EthanZombiek	5
47	Ruby	5
48	Olirik	0
49	DoopFizzle	0
50	kbee	0
51	BETA DUDE	0
52	EpicBidoof	0
53	Inacraft	0
54	DaveK	0
55	Sophia	0
56	Duck	0
57	Zion	0
58	Luckman	0
59	Bfan	0
60	RurpKing	0
61	Improv	0
62	Gabe	0
63	EthanZombieK	0
64	Padarera	0
65	nottynottnot	0
66	Roir | Neonate	0
67	verydoggish	0
68	MLL456	0
