Rank	Trainer	Points
1	Carbon Show	1071
2	JA9K	592
3	ditto	554
4	Salty	530
5	soysauce	526
6	fammy	367
7	joah	343
8	SandSSF2	323
9	Royaldarknes	320
10	HalfMario	293
11	IGuano	249
12	Nightmare	219
13	not	208
14	NetEasy	206
15	Cikada	196
16	jozz	192
17	Amalgamate	179
18	Planetar	172
19	verydoggish	169
20	Scuttler	166
21	Ikeba	156
22	Eon_II	134
23	Mario Dude	130
24	RAPJM	117
25	Staples	106
26	Zoom	84
27	MassiveMan	78
28	MTJgator	76
29	Bunswe	60
30	Smoke	60
31	Azend	59
32	colfon	49
33	Improv	43
34	Crunchy	41
35	Tau Heximus	39
36	Cheese	36
37	LovingStew	36
38	kbee	35
39	Aphelion	29
40	Azend_	29
41	razorforce21	25
42	penguhr	24
43	BETA DUDE	24
44	CakeOfGoodThings	20
45	1AM	19
46	JMoney	19
47	iammartyb	19
48	Bfan	17
49	MiDe	17
50	Zornch	17
51	Eripai	15
52	Dabuffalo	13
53	nottynottnot	10
54	AlexanderAgne	10
55	Olirik	6
56	Bubs	0
57	NonSenseTaco	0
58	TimSchmid22	0
59	MoebiusX9	0
60	☆Splat☆	0
61	jredskins	0
62	Ptooie	0
63	Sophia	0
64	EthanZombiek	0
65	Luckman	0
66	Padarera	0
67	DoopFizzle	0
68	Mikayla	0
69	HD	0
70	Noobinator	0
71	Avia Shine	0
72	Purgy	0
73	Jokiah	0
74	Gabe	0
75	EpicBidoof	0
76	Inacraft	0
77	14jmaster	0
78	RockMyRole	0
79	Moebius	0
80	EthanZombieK	0
81	gold_dxj	0
82	Eon II	0
83	Rūkasu	0
84	Bile.	0
85	purgy	0
86	DaveK	0
87	Lee	0
88	Justin	0
89	PetrosAsteraki	0
90	Duck	0
91	Vulkyz	0
92	Rukasu	0
93	YellowBanana	0
94	Obsessed	0
95	Nurfgal	0
96	vulkyz	0
97	Dirty	0
98	Gold	0
99	BC | RurpKing	0
100	Cosmo	0
101	Breadman	0
102	BlazeM	0
103	BC | RURPKING	0
104	JosephTPG	0
105	Roir | Neonate	0
106	Cheeseman58	0
107	MLL456	0
108	PGX	0
109	RurpKing	0
110	Yellowbanana	0
