Rank	Trainer	Tournament Length
1	Mario Dude - Sonic	62
2	SandSSF2 - R.O.B.	62
3	Salty - Pikachu	62
4	Amalgamate - Ken	62
5	Aphelion - Toon Link	62
5	ditto - Diddy Kong	62
7	Eon_II - Diddy Kong	62
7	IGuano - Richter	62
9	Crunchy - Pikachu	62
9	Planetar - Mr. Game & Watch	62
9	SandSSF2 - Toon Link	62
9	joah - Marth	62
13	joah - Diddy Kong	62
13	IGuano - Sonic	62
13	NetEasy - Pikachu	62
13	JMoney - Rosalina & Luma	62
17	Salty - Mr. Game & Watch	62
17	Mario Dude - Rosalina & Luma	62
17	JA9K - Pichu	62
17	Staples - Pichu	62
17	RAPJM - R.O.B.	62
17	Eon_II - Toon Link	62
17	Planetar - Inkling	62
17	Mario Dude - Diddy Kong	62
25	soysauce - Sonic	62
25	Carbon Show - R.O.B.	62
25	Noobinator - Mr. Game & Watch	62
25	NetEasy - Diddy Kong	62
25	Olirik - Inkling	62
25	BETA DUDE - Sonic	62
25	Noobinator - Inkling	62
25	ditto - Sonic	62
