Rank	Trainer	Tournament Length
1	Salty - Pikachu	701
2	Salty - Mr. Game & Watch	701
3	soysauce - Sonic	701
4	Carbon Show - R.O.B.	701
5	Planetar - Mr. Game & Watch	701
6	JMoney - Rosalina & Luma	701
7	Mario Dude - Rosalina & Luma	701
8	Crunchy - Pikachu	701
9	Eon_II - Diddy Kong	701
10	JA9K - Pichu	701
11	Noobinator - Mr. Game & Watch	701
12	Staples - Pichu	701
13	NetEasy - Diddy Kong	701
14	Aphelion - Toon Link	701
15	Mario Dude - Sonic	701
16	joah - Diddy Kong	701
17	Amalgamate - Ken	701
18	Olirik - Inkling	701
19	SandSSF2 - R.O.B.	701
20	IGuano - Richter	701
21	RAPJM - R.O.B.	701
22	IGuano - Sonic	701
23	NetEasy - Pikachu	701
24	Eon_II - Toon Link	701
25	BETA DUDE - Sonic	701
26	Noobinator - Inkling	701
27	joah - Marth	701
28	SandSSF2 - Toon Link	701
29	Planetar - Inkling	701
30	Mario Dude - Diddy Kong	701
31	ditto - Diddy Kong	701
32	RAPJM - Ken	701
33	Cikada - Simon	701
34	RAPJM - Sonic	701
35	ditto - Sonic	701
36	ditto - Toon Link	701
37	IGuano - Diddy Kong	701
38	Carbon Show - Pikachu	701
39	joah - Richter	701
40	soysauce - Toon Link	701
41	Planetar - Greninja	701
42	Eon_II - Ken	701
43	IGuano - R.O.B.	701
44	soysauce - Diddy Kong	701
45	Salty - R.O.B.	701
46	NetEasy - Toon Link	701
47	joah - Sonic	701
48	Eon_II - Greninja	701
49	Cikada - R.O.B.	701
50	JMoney - Diddy Kong	701
51	SandSSF2 - Mr. Game & Watch	701
52	soysauce - R.O.B.	701
53	JA9K - Sonic	701
54	RAPJM - Pikachu	701
55	Amalgamate - Diddy Kong	701
56	Dabuffalo - Pichu	701
57	IGuano - Ken	701
58	Planetar - Diddy Kong	701
59	Dabuffalo - Toon Link	701
60	EthanZombiek - Pikachu	701
61	BETA DUDE - Inkling	701
62	Duck - Pikachu	701
63	ditto - Pikachu	701
64	Bubs - Pichu	701
65	Royaldarknes - Pikachu	701
