Rank	Trainer	Tournament Length	Host
1	Carbon Show - Zelda	2224	Azend_1
2	JA9K - Dr. Mario	2224	Azend_1
3	JA9K - Steve	2224	Azend_1
4	Carbon Show - Ryu	2224	Azend_1
5	RAPJM - Zelda	2224	Azend_1
6	Crunchy - Dr. Mario	2224	Azend_1
7	MassiveMan - Steve	2224	Azend_1
8	Eon_II - Shulk	2224	Azend_1
9	Eon_II - Dark Pit	2224	Azend_1
10	MassiveMan - Dark Samus	2224	Azend_1
11	JA9K - Ryu	2224	Azend_1
12	Eon_II - Hero	2224	Azend_1
13	MassiveMan - Sephiroth	2224	Azend_1
14	RAPJM - Hero	2224	Azend_1
15	Cheese - Mega Man	2224	Azend_1
16	RAPJM - Isabelle	2224	Azend_1
33	ditto - Dr. Mario	2224	Azend_1
33	soysauce - Pit	2224	Azend_1
33	soysauce - Zelda	2224	Azend_1
33	soysauce - Steve	2224	Azend_1
33	ditto - Banjo & Kazooie	2224	Azend_1
33	ditto - Dark Pit	2224	Azend_1
33	ditto - Zelda	2224	Azend_1
33	soysauce - Hero	2224	Azend_1
33	Azend - Pyra & Mythra	2224	Azend_1
33	ditto - Steve	2224	Azend_1
33	Cikada - Mii Swordfighter	2224	Azend_1
33	soysauce - Banjo & Kazooie	2224	Azend_1
33	soysauce - Mii Swordfighter	2224	Azend_1
33	BETA DUDE - Dark Pit	2224	Azend_1
33	BETA DUDE - Dr. Mario	2224	Azend_1
33	Cikada - Zelda	2224	Azend_1
33	Cikada - Pyra & Mythra	2224	Azend_1
33	Skyfletcher - Pyra & Mythra	2224	Azend_1
33	ditto - Mii Swordfighter	2224	Azend_1
33	soysauce - Pyra & Mythra	2224	Azend_1
33	ditto - Pyra & Mythra	2224	Azend_1
33	Cikada - Ryu	2224	Azend_1
33	ditto - Ryu	2224	Azend_1
33	Azend - Wolf	2224	Azend_1
33	BETA DUDE - Pyra & Mythra	2224	Azend_1
33	BETA DUDE - Banjo & Kazooie	2224	Azend_1
33	Cikada - Banjo & Kazooie	2224	Azend_1
33	Cikada - Dr. Mario	2224	Azend_1
33	Jim - Dark Pit	2224	Azend_1
33	Skyfletcher - Falco	2224	Azend_1
33	Cikada - Palutena	2224	Azend_1
33	JA9K - Pit	2224	Azend_1
33	JA9K - Mii Swordfighter	2224	Azend_1
33	Eon_II - Steve	2224	Azend_1
