Rank	Trainer	Tournament Length
1	Gamer John - Mii Swordfighter	125
2	Staples - Zelda	125
3	Carbon Show - Meta Knight	125
4	Nobody - Mii Swordfighter	125
5	Skyfletcher - Pyra & Mythra	125
5	Azend - Wolf	125
7	Staples - Pyra & Mythra	125
7	Gamer John - Little Mac	125
9	Carbon Show - Luigi	125
9	fammy - Shulk	125
9	Carbon Show - Cloud	125
9	Skyfletcher - Falco	125
13	Gamer John - Dark Samus	125
13	fammy - Villager	125
13	Staples - Pokemon Trainer	125
13	Carbon Show - Mega Man	125
17	BETA DUDE - Cloud	125
17	fammy - Steve	125
17	BETA DUDE - Meta Knight	125
17	fammy - Dr. Mario	125
17	Gamer John - Ike	125
17	BETA DUDE - Robin	125
17	Skyfletcher - Ike	125
17	Azend - Hero	125
25	BETA DUDE - Shulk	125
25	Staples - Mewtwo	125
25	Nobody - Steve	125
25	Nobody - Falco	125
25	Gamer John - Robin	125
25	Gamer John - Koopaling	125
25	Skyfletcher - Zelda	125
25	Skyfletcher - R.O.B.	125
33	BETA DUDE - Pyra & Mythra	125
33	Staples - Luigi	125
33	Carbon Show - Shulk	125
33	Skyfletcher - Shulk	125
33	BETA DUDE - Mewtwo	125
33	Staples - Sephiroth	125
33	fammy - Meta Knight	125
33	Skyfletcher - Joker	125
33	Gamer John - Dr. Mario	125
33	Azend - Falco	125
33	Nobody - Palutena	125
33	Carbon Show - Ice Climbers	125
33	Nobody - Lucina	125
33	Staples - Wario	125
33	Nobody - Greninja	125
33	Nobody - Duck Hunt	125
49	Carbon Show - Pyra & Mythra	125
49	fammy - Luigi	125
49	Gamer John - Luigi	125
49	BETA DUDE - Sephiroth	125
49	BETA DUDE - Mii Swordfighter	125
49	fammy - Joker	125
49	Skyfletcher - Mewtwo	125
49	fammy - Little Mac	125
49	Staples - Koopaling	125
49	Azend - Cloud	125
49	Azend - Joker	125
49	Azend - Steve	125
49	Azend - Sephiroth	125
49	Carbon Show - Ryu	125
49	Nobody - Ken	125
