Rank	Trainer	Tournament Length
1	colfon - Steve	127
2	Jim - Mii Swordfighter	127
3	MassiveMan - Pokemon Trainer	127
4	RAPJM - Mii Swordfighter	127
5	Crunchy - Sephiroth	127
5	MassiveMan - Mewtwo	127
7	Jim - Cloud	127
7	MassiveMan - Steve	127
9	Nightmare - Robin	127
9	MassiveMan - Dark Samus	127
9	Nightmare - Luigi	127
9	Cheese - Zelda	127
13	MassiveMan - Sephiroth	127
13	Cheese - Mega Man	127
13	MassiveMan - Mega Man	127
13	Crunchy - Pokemon Trainer	127
17	Cheese - Meta Knight	127
17	Crunchy - Meta Knight	127
17	Cheese - Cloud	127
17	colfon - Robin	127
17	Crunchy - Robin	127
17	Jim - Pyra & Mythra	127
17	RAPJM - Duck Hunt	127
17	Nightmare - Samus	127
25	Nightmare - Meta Knight	127
25	Nightmare - Sephiroth	127
25	Cheese - Dark Samus	127
25	Crunchy - Mega Man	127
25	Zion - Fox	127
25	Jim - Young Link	127
25	Cheese - Yoshi	127
25	RAPJM - Wolf	127
33	Cheese - Sephiroth	127
33	colfon - Sephiroth	127
33	RAPJM - Cloud	127
33	Cheese - Robin	127
33	Zion - Dr. Mario	127
33	Zion - Steve	127
33	Crunchy - Mii Swordfighter	127
33	MassiveMan - Dr. Mario	127
33	colfon - Pyra & Mythra	127
33	colfon - Palutena	127
33	Crunchy - Palutena	127
33	Zion - Little Mac	127
33	Jim - Falco	127
33	Zion - Kirby	127
33	RAPJM - Ice Climbers	127
33	RAPJM - Sheik	127
49	Jim - Meta Knight	127
49	colfon - Meta Knight	127
49	RAPJM - Meta Knight	127
49	colfon - Cloud	127
49	MassiveMan - Cloud	127
49	Nightmare - Dark Samus	127
49	Nightmare - Pokemon Trainer	127
49	Crunchy - Dr. Mario	127
49	Zion - Duck Hunt	127
49	colfon - Luigi	127
49	Zion - Jigglypuff	127
49	Jim - Bayonetta	127
49	Zion - Lucario	127
49	Jim - Greninja	127
49	Nightmare - Isabelle	127
49	RAPJM - Ryu	127
