Rank	Trainer	Tournament Length
1	joah - Zelda	127
2	NetEasy - Mewtwo	127
3	soysauce - Meta Knight	127
4	NetEasy - Ryu	127
5	penguhr - Joker	127
5	NetEasy - Hero	127
7	NetEasy - Pokemon Trainer	127
7	joah - Cloud	127
9	Luckman - Sephiroth	127
9	soysauce - Hero	127
9	Bubs - Pyra & Mythra	127
9	penguhr - Dr. Mario	127
13	soysauce - Robin	127
13	Luckman - Shulk	127
13	joah - Luigi	127
13	Luckman - Chrom	127
17	penguhr - Cloud	127
17	Luckman - Cloud	127
17	joah - Joker	127
17	Bubs - Meta Knight	127
17	NetEasy - Robin	127
17	NetEasy - Samus	127
17	Luckman - Joker	127
17	soysauce - Zelda	127
25	joah - Pokemon Trainer	127
25	Bubs - Sephiroth	127
25	soysauce - Samus	127
25	soysauce - Mewtwo	127
25	soysauce - Mega Man	127
25	Bfan - Mega Man	127
25	Bfan - Dr. Mario	127
25	penguhr - Banjo & Kazooie	127
33	RurpKing - Pokemon Trainer	127
33	Bubs - Pokemon Trainer	127
33	Bfan - Pokemon Trainer	127
33	joah - Sephiroth	127
33	NetEasy - Sephiroth	127
33	NetEasy - Cloud	127
33	Bfan - Cloud	127
33	RurpKing - Mega Man	127
33	Bfan - Samus	127
33	Luckman - Hero	127
33	joah - Pyra & Mythra	127
33	Luckman - Falco	127
33	RurpKing - Roy	127
33	penguhr - Palutena	127
33	Bubs - Lucario	127
33	Luckman - Steve	127
49	soysauce - Pokemon Trainer	127
49	RurpKing - Sephiroth	127
49	RurpKing - Robin	127
49	Bfan - Mewtwo	127
49	Bfan - Meta Knight	127
49	RurpKing - Ike	127
49	penguhr - Isabelle	127
49	Bubs - Isabelle	127
49	joah - Falco	127
49	penguhr - Ike	127
49	Bfan - Ryu	127
49	RurpKing - Koopaling	127
49	RurpKing - Sonic	127
49	penguhr - Kirby	127
49	Bubs - Dark Pit	127
49	Bubs - Wolf	127
