Rank	Trainer	Tournament Length
1	Salty - Meta Knight	126
2	Eon_II - Shulk	126
3	jozz - Falco	126
4	IGuano - Meta Knight	126
5	Eon_II - Banjo & Kazooie	126
5	jozz - Hero	126
7	jozz - Steve	126
7	IGuano - Pit	126
9	ditto - Mega Man	126
9	Royaldarknes - Zelda	126
9	IGuano - Robin	126
9	jozz - Kirby	126
13	ditto - Mewtwo	126
13	Royaldarknes - Mega Man	126
13	Royaldarknes - Mewtwo	126
13	Salty - Steve	126
17	Eon_II - Mega Man	126
17	jozz - Mega Man	126
17	Eon_II - Zelda	126
17	ditto - Zelda	126
17	gold_dxj - Palutena	126
17	Salty - Dark Samus	126
17	Salty - Dr. Mario	126
17	Salty - Luigi	126
25	JA9K - Meta Knight	126
25	IGuano - Samus	126
25	JA9K - Samus	126
25	jozz - Sephiroth	126
25	JA9K - Steve	126
25	ditto - Robin	126
25	IGuano - Ryu	126
25	Royaldarknes - Kirby	126
33	Salty - Mega Man	126
33	IGuano - Pokemon Trainer	126
33	Eon_II - Mewtwo	126
33	Eon_II - Pokemon Trainer	126
33	ditto - Pokemon Trainer	126
33	Royaldarknes - Pokemon Trainer	126
33	gold_dxj - Zelda	126
33	Eon_II - Sephiroth	126
33	Royaldarknes - Samus	126
33	Salty - Little Mac	126
33	JA9K - Ice Climbers	126
33	ditto - Ryu	126
33	IGuano - Ice Climbers	126
33	jozz - Palutena	126
33	JA9K - Mii Swordfighter	126
33	Royaldarknes - Dark Pit	126
49	gold_dxj - Meta Knight	126
49	ditto - Meta Knight	126
49	Royaldarknes - Meta Knight	126
49	JA9K - Mewtwo	126
49	JA9K - Pokemon Trainer	126
49	IGuano - Mewtwo	126
49	gold_dxj - Sephiroth	126
49	JA9K - Sephiroth	126
49	Eon_II - Samus	126
49	Salty - Robin	126
49	gold_dxj - Pyra & Mythra	126
49	gold_dxj - Jigglypuff	126
49	gold_dxj - Inkling	126
49	jozz - Little Mac	126
49	gold_dxj - Isabelle	126
49	ditto - Wolf	126
