Rank	Trainer	Tournament Length
1	Cikada - Kazuya	1683
2	ditto - Kazuya	1683
3	RAPJM - Kazuya	1683
4	MassiveMan - Min Min	1683
5	Royaldarknes - Kazuya	1683
6	SandSSF2 - Terry	1683
7	joah - Kazuya	1683
8	NetEasy - Kazuya	1683
9	razorforce21 - Mii Gunner	1683
10	Carbon Show - Snake	1683
11	Azend - Kazuya	1683
12	Staples - Ness	1683
13	Mario Dude - Mii Gunner	1683
14	colfon - Min Min	1683
15	soysauce - Mii Gunner	1683
16	Crunchy - Min Min	1683
17	Smoke - Snake	1683
18	Noobinator - Mii Gunner	1683
19	HalfMario - Mii Gunner	1683
20	JMoney - Kazuya	1683
21	Improv - Donkey Kong	1683
22	Ikeba - Mii Gunner	1683
23	nottynottnot - Bowser	1683
24	Roir | Neonate - Byleth	1683
25	EthanZombiek - Kazuya	1683
26	Scuttler - Ridley	1683
27	Aphelion - King K. Rool	1683
28	Cheese - Mii Gunner	1683
29	Eon_II - Donkey Kong	1683
30	MTJgator - Mii Gunner	1683
31	Amalgamate - Byleth	1683
32	Bubs - Pokemon Trainer	1683
33	Sophia - Kazuya	1683
34	Mikayla - King K. Rool	1683
