Rank	Trainer	Tournament Length
1	Smoke - Ryu	62
2	Crunchy - Ryu	62
3	MTJgator - Joker	62
4	RoyalDarknes - Falco	62
5	Carbon Show - Bowser Jr.	62
5	joah - Ryu	62
7	EthanZombiek - Ike	62
7	Ruby - Ryu	62
9	Tau Heximus - Corrin	62
9	Cikada - Ryu	62
9	Aphelion - Corrin	62
9	Olirik - Kirby	62
13	Eon_II - Ice Climbers	62
13	Ikeba - Ryu	62
13	DoopFizzle - Kirby	62
13	Noobinator - Mr. Game & Watch	62
17	Bubs - Pichu	62
17	kbee - Toon Link	62
17	BETA DUDE - Rosalina & Luma	62
17	Mario Dude - Ice Climbers	62
17	Dabuffalo - Falco	62
17	SandSSF2 - Kirby	62
17	ditto - Bowser Jr.	62
17	EpicBidoof - Kirby	62
25	Amalgamate - Ryu	62
25	colfon - Little Mac	62
25	Inacraft - Little Mac	62
25	JA9K - Kirby	62
25	DaveK - Mario	62
25	Scuttler - Joker	62
25	Planetar - Daisy	62
25	Sophia - Ryu	62
