Rank	Trainer	Tournament Length
1	MassiveMan - Olimar	254
2	ditto - Link	254
3	Planetar - Hero	254
4	razorforce21 - Ganondorf	254
5	NetEasy - King Dedede	254
5	joah - Sephiroth	254
7	Nightmare - King Dedede	254
7	Planetar - Olimar	254
9	soysauce - Olimar	254
9	Mikayla - Zelda	254
9	fammy - Mii Brawler	254
9	Bubs - Pyra & Mythra	254
13	RAPJM - Byleth	254
13	MassiveMan - King Dedede	254
13	Smoke - Link	254
13	razorforce21 - Hero	254
17	jozz - Byleth	254
17	Ikeba - Ganondorf	254
17	Crunchy - Ganondorf	254
17	Royaldarknes - Link	254
17	soysauce - Lucas	254
17	JA9K - Piranha Plant	254
17	Crunchy - Mii Swordfighter	254
17	RAPJM - Young Link	254
25	Nightmare - Byleth	254
25	Royaldarknes - Byleth	254
25	Improv - King Dedede	254
25	Crunchy - King Dedede	254
25	Mario Dude - King Dedede	254
25	Eon_II - Link	254
25	Eon_II - Mii Brawler	254
25	fammy - Ryu	254
33	Eon_II - Byleth	254
33	Improv - Byleth	254
33	Ikeba - Byleth	254
33	soysauce - Byleth	254
33	ditto - King Dedede	254
33	Ikeba - Olimar	254
33	JA9K - Olimar	254
33	Nightmare - Link	254
33	Mario Dude - Link	254
33	Staples - Zelda	254
33	razorforce21 - Lucas	254
33	Eon_II - Hero	254
33	Luckman - Mii Brawler	254
33	Bubs - Pokemon Trainer	254
33	fammy - Dr. Mario	254
33	kbee - Banjo & Kazooie	254
49	Mario Dude - Byleth	254
49	Gabe - Byleth	254
49	kbee - Byleth	254
49	colfon - Olimar	254
49	SandSSF2 - Ganondorf	254
49	NetEasy - Olimar	254
49	EthanZombieK - Olimar	254
49	jozz - Ganondorf	254
49	MassiveMan - Ganondorf	254
49	Ikeba - Lucas	254
49	RAPJM - Lucas	254
49	JA9K - Lucas	254
49	penguhr - Piranha Plant	254
49	penguhr - Mii Brawler	254
49	Planetar - Steve	254
49	jozz - Steve	254
65	colfon - Byleth	254
65	Planetar - Byleth	254
65	SandSSF2 - Byleth	254
65	EthanZombieK - Byleth	254
65	colfon - King Dedede	254
65	Mikayla - King Dedede	254
65	Royaldarknes - King Dedede	254
65	MTJgator - King Dedede	254
65	Smoke - King Dedede	254
65	soysauce - King Dedede	254
65	Royaldarknes - Ganondorf	254
65	kbee - Ganondorf	254
65	razorforce21 - Link	254
65	Mario Dude - Lucas	254
65	Sophia - Zelda	254
65	NetEasy - Zelda	254
65	MTJgator - Lucas	254
65	Smoke - Lucas	254
65	Crunchy - Piranha Plant	254
65	NetEasy - Piranha Plant	254
65	Bubs - Piranha Plant	254
65	colfon - Steve	254
65	jozz - Hero	254
65	penguhr - Dr. Mario	254
65	penguhr - Mii Swordfighter	254
65	Improv - Sephiroth	254
65	Sophia - Pokemon Trainer	254
65	fammy - Luigi	254
65	kbee - Robin	254
65	Staples - Wario	254
65	joah - Meta Knight	254
65	Gabe - Palutena	254
97	Staples - Byleth	254
97	Sophia - Byleth	254
97	ditto - Byleth	254
97	Gabe - King Dedede	254
97	JA9K - King Dedede	254
97	SandSSF2 - Olimar	254
97	EthanZombieK - Ganondorf	254
97	Smoke - Olimar	254
97	Luckman - Ganondorf	254
97	Sophia - Link	254
97	Gabe - Link	254
97	Improv - Zelda	254
97	Bubs - Zelda	254
97	joah - Zelda	254
97	RAPJM - Zelda	254
97	MassiveMan - Piranha Plant	254
97	Padarera - Mii Brawler	254
97	ditto - Steve	254
97	EthanZombieK - Steve	254
97	Luckman - Hero	254
97	Mikayla - Sephiroth	254
97	Padarera - Dr. Mario	254
97	MTJgator - Pokemon Trainer	254
97	Luckman - Mii Swordfighter	254
97	Staples - Pyra & Mythra	254
97	Nightmare - Banjo & Kazooie	254
97	Mikayla - Robin	254
97	Padarera - Luigi	254
97	SandSSF2 - Young Link	254
97	Padarera - Inkling	254
97	MTJgator - Wolf	254
97	joah - Pit	254
