Rank	Trainer	Tournament Length
1	Planetar - Rosalina & Luma	406
2	Planetar - Young Link	406
3	ditto - Young Link	406
4	RAPJM - Pikachu	406
5	Salty - Sonic	406
5	Dabuffalo - Diddy Kong	406
7	Scuttler - Diddy Kong	406
7	NetEasy - Diddy Kong	406
9	Salty - Toon Link	406
9	HalfMario - Diddy Kong	406
9	ditto - Inkling	406
9	Cheese - Toon Link	406
13	jozz - Inkling	406
13	razorforce21 - Toon Link	406
13	soysauce - Mario	406
13	Planetar - Sonic	406
17	ditto - Rosalina & Luma	406
17	NetEasy - Pikachu	406
17	Salty - Pikachu	406
17	Crunchy - Fox	406
17	Carbon Show - R.O.B.	406
17	JA9K - Lucina	406
17	HalfMario - Young Link	406
17	SandSSF2 - R.O.B.	406
25	fammy - Diddy Kong	406
25	ditto - Simon	406
25	Planetar - Mr. Game & Watch	406
25	Eon_II - R.O.B.	406
25	SandSSF2 - Toon Link	406
25	JA9K - Mario	406
25	Cheese - Lucina	406
25	Nightmare - Young Link	406
33	joah - Mario	406
33	Planetar - Mario	406
33	Salty - Mr. Game & Watch	406
33	Eon_II - Simon	406
33	Crunchy - Sheik	406
33	soysauce - Simon	406
33	fammy - Toon Link	406
33	razorforce21 - Inkling	406
33	Amalgamate - Sonic	406
33	soysauce - Mr. Game & Watch	406
33	soysauce - Diddy Kong	406
33	JA9K - Toon Link	406
33	Eon_II - Marth	406
33	joah - Sheik	406
33	RAPJM - Young Link	406
33	jozz - Simon	406
49	Planetar - Pikachu	406
49	IGuano - Diddy Kong	406
49	Ikeba - Ken	406
49	JA9K - R.O.B.	406
49	Cheese - Young Link	406
49	joah - Marth	406
49	Eon_II - Mario	406
49	Carbon Show - Mr. Game & Watch	406
49	JA9K - Bayonetta	406
49	IGuano - Sonic	406
49	ditto - Toon Link	406
49	ditto - R.O.B.	406
49	Royaldarknes - Pikachu	406
49	Scuttler - Sonic	406
49	Nightmare - Mr. Game & Watch	406
49	Crunchy - Mario	406
65	IGuano - R.O.B.	406
65	Tau Heximus - Mr. Game & Watch	406
65	JA9K - Diddy Kong	406
65	IGuano - Mario	406
65	Carbon Show - Young Link	406
65	gold_dxj - Inkling	406
65	MTJgator - Mario	406
65	Salty - Lucina	406
65	fammy - Mario	406
65	gold_dxj - R.O.B.	406
65	Eon_II - Toon Link	406
65	soysauce - Ken	406
65	Nightmare - Inkling	406
65	IGuano - Greninja	406
65	verydoggish - Mario	406
65	Amalgamate - Young Link	406
65	gold_dxj - Pichu	406
65	soysauce - R.O.B.	406
65	EthanZombieK - Sheik	406
65	RAPJM - Sonic	406
65	SandSSF2 - Young Link	406
65	RAPJM - Richter	406
65	Amalgamate - Pichu	406
65	SandSSF2 - Rosalina & Luma	406
65	Amalgamate - Simon	406
65	Nightmare - Ken	406
65	IGuano - Pichu	406
65	Eon_II - Jigglypuff	406
65	MassiveMan - Simon	406
65	Amalgamate - Greninja	406
65	Inacraft - Lucina	406
65	Dabuffalo - Bayonetta	406
97	IGuano - Simon	406
97	Salty - R.O.B.	406
97	ditto - Diddy Kong	406
97	soysauce - Lucina	406
97	NetEasy - Young Link	406
97	ditto - Pichu	406
97	Planetar - Diddy Kong	406
97	Cheese - Rosalina & Luma	406
97	ditto - Mario	406
97	HalfMario - Pichu	406
97	NetEasy - Ken	406
97	Cheese - Marth	406
97	IGuano - Ken	406
97	soysauce - Sonic	406
97	RAPJM - Lucina	406
97	MTJgator - Toon Link	406
97	soysauce - Toon Link	406
97	ditto - Mr. Game & Watch	406
97	Eon_II - Sonic	406
97	SandSSF2 - Mario	406
97	MassiveMan - Pichu	406
97	Ikeba - Mario	406
97	SandSSF2 - Pikachu	406
97	fammy - Simon	406
97	ditto - Marth	406
97	Planetar - Inkling	406
97	Inacraft - Pichu	406
97	Planetar - Lucina	406
97	HalfMario - Toon Link	406
97	Amalgamate - Rosalina & Luma	406
97	Nightmare - Greninja	406
97	Cheese - Sheik	406
129	IGuano - Richter	406
129	Ikeba - Sonic	406
129	NetEasy - Mario	406
129	NetEasy - Mr. Game & Watch	406
129	soysauce - Greninja	406
129	Eon_II - Lucina	406
129	JA9K - Young Link	406
129	SandSSF2 - Pichu	406
129	Amalgamate - Bayonetta	406
129	HalfMario - Rosalina & Luma	406
129	SandSSF2 - Richter	406
129	IGuano - Pikachu	406
129	Planetar - Toon Link	406
129	RAPJM - Inkling	406
129	fammy - Inkling	406
129	IGuano - Young Link	406
129	Amalgamate - Pikachu	406
129	Eon_II - Greninja	406
129	gold_dxj - Zero Suit Samus	406
129	joah - Rosalina & Luma	406
129	RAPJM - Mr. Game & Watch	406
129	Noobinator - Inkling	406
129	MTJgator - Diddy Kong	406
129	jozz - Fox	406
129	Dabuffalo - Rosalina & Luma	406
129	RAPJM - Diddy Kong	406
129	Dabuffalo - Marth	406
129	Scuttler - Mario	406
129	NetEasy - Jigglypuff	406
129	Nightmare - Toon Link	406
129	HalfMario - Pikachu	406
129	Eon_II - Young Link	406
129	Carbon Show - Pikachu	406
129	fammy - Ken	406
129	Dabuffalo - Jigglypuff	406
129	NetEasy - Lucina	406
129	Bubs - Pichu	406
129	Eon_II - Mr. Game & Watch	406
129	EthanZombieK - Mr. Game & Watch	406
129	joah - Lucina	406
129	IGuano - Marth	406
129	fammy - Mr. Game & Watch	406
129	SandSSF2 - Ken	406
129	Ikeba - Richter	406
129	Amalgamate - Lucina	406
129	Amalgamate - Fox	406
129	SandSSF2 - Diddy Kong	406
129	ditto - Jigglypuff	406
129	razorforce21 - Jigglypuff	406
129	gold_dxj - Sheik	406
129	soysauce - Pikachu	406
129	joah - Pichu	406
129	Crunchy - Inkling	406
129	Planetar - Ken	406
129	Nightmare - Pikachu	406
129	RAPJM - Mario	406
129	Carbon Show - Inkling	406
129	RAPJM - Sheik	406
129	MassiveMan - Toon Link	406
129	Eon_II - Zero Suit Samus	406
129	RAPJM - Rosalina & Luma	406
129	HalfMario - Jigglypuff	406
129	Amalgamate - Mario	406
129	Aphelion - Toon Link	406
193	Dabuffalo - Mario	406
193	Crunchy - Toon Link	406
193	Dabuffalo - Simon	406
193	Nightmare - Sonic	406
193	Amalgamate - Inkling	406
193	Nightmare - Mario	406
193	EthanZombieK - Mario	406
193	Mikayla - Toon Link	406
193	Bubs - Greninja	406
193	Amalgamate - Toon Link	406
193	JA9K - Jigglypuff	406
193	Cheese - Bayonetta	406
