Rank	Trainer	Tournament Length
1	Planetar - Pikachu	343
2	IGuano - R.O.B.	343
3	RAPJM - Pikachu	343
4	NetEasy - Mario	343
5	Carbon Show - Young Link	343
6	Eon_II - Lucina	343
7	Planetar - Mario	343
8	SandSSF2 - Pichu	343
9	jozz - Inkling	343
10	NetEasy - Pikachu	343
11	Crunchy - Sheik	343
12	JA9K - R.O.B.	343
13	Salty - Pikachu	343
14	soysauce - Simon	343
15	ditto - Pichu	343
16	Dabuffalo - Mario	343
17	ditto - Mario	343
18	fammy - Toon Link	343
19	Amalgamate - Sonic	343
20	Noobinator - Inkling	343
21	MTJgator - Diddy Kong	343
22	Cheese - Marth	343
23	RAPJM - Diddy Kong	343
24	verydoggish - Mario	343
25	JA9K - Lucina	343
26	IGuano - Sonic	343
27	soysauce - Mr. Game & Watch	343
28	Eon_II - Young Link	343
29	Salty - Sonic	343
30	Dabuffalo - Diddy Kong	343
31	EthanZombieK - Mr. Game & Watch	343
32	joah - Lucina	343
33	SandSSF2 - R.O.B.	343
34	Ikeba - Richter	343
35	SandSSF2 - Rosalina & Luma	343
36	Amalgamate - Fox	343
37	Eon_II - Sonic	343
38	MassiveMan - Pichu	343
39	Nightmare - Ken	343
40	soysauce - Pikachu	343
41	Planetar - Inkling	343
42	RAPJM - Young Link	343
43	Nightmare - Young Link	343
44	HalfMario - Toon Link	343
45	Amalgamate - Rosalina & Luma	343
46	Inacraft - Lucina	343
47	Eon_II - Zero Suit Samus	343
48	Dabuffalo - Bayonetta	343
49	JA9K - Jigglypuff	343
50	RAPJM - Marth	343
51	Nightmare - R.O.B.	343
52	NetEasy - Pichu	343
53	Dabuffalo - R.O.B.	343
54	Crunchy - Greninja	343
55	IGuano - Rosalina & Luma	343
56	MTJgator - Rosalina & Luma	343
57	Tau Heximus - Simon	343
58	joah - Diddy Kong	343
59	ditto - Ken	343
60	RAPJM - Bayonetta	343
61	Amalgamate - Mr. Game & Watch	343
62	gold_dxj - Greninja	343
63	SandSSF2 - Mr. Game & Watch	343
64	ditto - Pikachu	343
65	gold_dxj - Mario	343
66	Scuttler - Richter	343
67	Scuttler - Toon Link	343
68	Ikeba - Toon Link	343
69	IGuano - Mr. Game & Watch	343
70	Cheese - Sheik	343
71	gold_dxj - Ken	343
72	MLL456 - Diddy Kong	343
73	HalfMario - Mr. Game & Watch	343
74	joah - Toon Link	343
75	Crunchy - Marth	343
76	Cheese - Mario	343
77	Sophia - Inkling	343
78	Mikayla - Lucina	343
79	Royaldarknes - Greninja	343
80	soysauce - Sheik	343
81	Bubs - Sonic	343
82	Nightmare - Marth	343
83	Cheese - Richter	343
84	Bubs - Zero Suit Samus	343
85	MLL456 - Toon Link	343
86	razorforce21 - Fox	343
87	Bubs - Ken	343
88	MTJgator - Greninja	343
89	EpicBidoof - Diddy Kong	343
90	Tau Heximus - Jigglypuff	343
91	fammy - Sheik	343
92	Carbon Show - Jigglypuff	343
93	nottynottnot - Pikachu	343
94	Sophia - Zero Suit Samus	343
95	Bubs - Simon	343
96	EthanZombieK - Jigglypuff	343
97	Mikayla - Fox	343
98	Mikayla - Sonic	343
99	MTJgator - Marth	343
